rip_geog,ateco2007,forma_giu,anno,unit_loc,gruppo,PER_tot,PER_dir,PER_qua,PER_imp,PER_ope,DIP_dic13,PER_indet,PER_deter,PER_appre,PER_chiam,DIP_TemPar_tot,DIP_TemPar_indet,DIP_TemPar_term,ORE14,FAT14
1,Spedizionieri e agenzie di operazioni doganali,13,1964,28,2,991,24,72,490,405,975,972,12,7,0,19,19,0,1637527,497875528
2,"Commercio al dettaglio di articoli di profumeria, prodotti per toletta e per l'igiene personale",13,1989,122,2,989,2,18,944,25,1111,884,44,16,45,259,244,15,1537872,134911174
3,Produzione di software non connesso all'edizione,13,1983,3,1,987,27,214,746,0,1003,984,3,0,0,91,91,0,1541376,76000000
2,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbrica,13,1987,4,1,984,11,26,263,684,904,867,117,0,0,64,62,2,1051737,193982000
2,Pulizia generale (non specializzata) di edifici,13,1993,60,3,969,0,2,17,950,655,925,44,0,0,925,905,20,588973,13870083
3,Costruzione di edifici residenziali e non residenziali,13,1950,34,1,963,132,139,472,220,881,933,30,0,0,18,18,0,2265000,2130936259
3,Altre attività connesse alle telecomunicazioni,13,1987,13,1,956,14,32,578,332,596,686,137,133,0,7,6,1,1548859,52172908
4,Pulizia generale (non specializzata) di edifici,13,1958,0,3,952,0,1,15,936,850,952,0,0,0,684,684,0,691123,12629725
3,Pulizia generale (non specializzata) di edifici,13,1998,3,1,949,2,0,39,908,916,929,20,0,0,775,755,20,94362,22620215
3,Produzione di cemento,13,1974,19,1,945,27,55,342,521,1190,945,0,0,0,16,16,0,1500000,200000000
1,Pulizia generale (non specializzata) di edifici,13,1966,0,3,945,1,6,37,901,953,905,40,0,0,808,772,36,885213,21339655
4,Fabbricazione di vetro cavo,13,1996,8,2,944,18,20,207,699,852,788,155,1,0,16,15,1,1541215,292913147
4,Attività di risanamento e altri servizi di gestione dei rifiuti,13,1999,17,3,940,7,9,423,501,605,740,200,0,0,93,0,93,1006390,78250777
4,Trasporto terrestre di passeggeri in aree urbane e suburbane,13,1992,18,1,934,5,14,74,841,942,925,9,0,0,3,3,0,1630400,95870568
1,Servizi di vigilanza privata,13,1979,6,3,928,0,3,21,904,729,836,90,2,0,20,15,5,238890,45668848
3,Supermercati,13,1975,43,3,926,3,12,66,845,912,680,165,81,0,57,36,21,1547811,217071497
1,Ospedali e case di cura generici,13,1965,1,1,923,0,0,783,140,467,871,52,0,0,76,75,1,688904,128667485
2,Commercio al dettaglio di confezioni per adulti,13,1966,113,1,918,4,10,904,0,949,660,258,0,0,230,10,220,1406525,206643489
1,Pulizia generale (non specializzata) di edifici,13,2007,6,1,912,3,6,58,845,930,893,19,0,0,575,558,17,1700000,39307739
3,Gestione di luoghi e monumenti storici e attrazioni simili,13,2000,2,3,905,15,15,592,283,480,886,19,0,0,366,353,13,1129356,60454000
1,"Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia",12,2012,8,2,902,14,16,178,694,908,902,0,0,0,61,61,0,1032049,104361126
1,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori,13,2001,8,2,902,14,16,178,694,908,902,0,0,0,61,61,0,1032049,104361126
4,Trasporto terrestre di passeggeri in aree urbane e suburbane,13,2003,16,3,902,0,0,40,862,467,790,85,0,27,0,0,0,486000,21361171
1,Confezione in serie di abbigliamento esterno,13,1968,8,1,896,12,13,226,645,897,814,54,28,0,48,46,2,1414338,248075274
1,Ipermercati,13,1965,51,1,895,0,5,809,81,927,790,19,86,0,197,187,10,1450090,235485465
3,Concessione dei diritti di sfruttamento di proprietà intellettuale e prodotti simili (escluse le op,13,1974,18,2,892,85,156,625,26,877,793,99,0,0,30,29,1,1463022,184240000
1,Fabbricazione di altri prodotti chimici di base organici,13,2008,8,1,890,36,91,352,411,875,871,19,0,0,25,25,0,1426357,543606703
1,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,1939,3,1,886,35,373,478,0,858,849,20,17,0,112,112,0,1260713,289632941
